Illness,Symptom,Weight,Triage Advice
Food Poisoning,stomach cramps,1.5,"Stay hydrated with oral rehydration salts (ORS). Avoid solid foods for a few hours. If you are unable to keep fluids down for over 24 hours, consult a physician."
Food Poisoning,fever,0.8,"Stay hydrated with oral rehydration salts (ORS). Avoid solid foods for a few hours. If you are unable to keep fluids down for over 24 hours, consult a physician."
Gastroenteritis (Stomach Flu),diarrhea,1.8,"Drink plenty of clear fluids. Rest your stomach by starting with bland foods. If stools contain blood or your fever is high, seek medical advice."
Gastroenteritis (Stomach Flu),vomiting,1.5,"Drink plenty of clear fluids. Rest your stomach by starting with bland foods. If stools contain blood or your fever is high, seek medical advice."
Gastroenteritis (Stomach Flu),stomach cramps,1.5,"Drink plenty of clear fluids. Rest your stomach by starting with bland foods. If stools contain blood or your fever is high, seek medical advice."
Gastroenteritis (Stomach Flu),fever,1.0,"Drink plenty of clear fluids. Rest your stomach by starting with bland foods. If stools contain blood or your fever is high, seek medical advice."
Gastroenteritis (Stomach Flu),headache,0.5,"Drink plenty of clear fluids. Rest your stomach by starting with bland foods. If stools contain blood or your fever is high, seek medical advice."
Allergic Rhinitis (Allergies),sneezing,1.8,"Avoid known allergens. Over-the-counter antihistamines and nasal sprays can relieve symptoms. Consult an allergist for persistent issues."
Allergic Rhinitis (Allergies),runny nose,1.5,"Avoid known allergens. Over-the-counter antihistamines and nasal sprays can relieve symptoms. Consult an allergist for persistent issues."
Allergic Rhinitis (Allergies),itchy eyes,1.8,"Avoid known allergens. Over-the-counter antihistamines and nasal sprays can relieve symptoms. Consult an allergist for persistent issues."
Allergic Rhinitis (Allergies),congestion,1.0,"Avoid known allergens. Over-the-counter antihistamines and nasal sprays can relieve symptoms. Consult an allergist for persistent issues."
Strep Throat,sore throat,1.8,"Consult a healthcare provider for a throat swab/strep test. Antibiotics may be required. Warm saltwater gargles can soothe discomfort."
Strep Throat,fever,1.2,"Consult a healthcare provider for a throat swab/strep test. Antibiotics may be required. Warm saltwater gargles can soothe discomfort."
Strep Throat,difficulty swallowing,1.8,"Consult a healthcare provider for a throat swab/strep test. Antibiotics may be required. Warm saltwater gargles can soothe discomfort."
Strep Throat,swollen tonsils,1.8,"Consult a healthcare provider for a throat swab/strep test. Antibiotics may be required. Warm saltwater gargles can soothe discomfort."
Strep Throat,headache,0.8,"Consult a healthcare provider for a throat swab/strep test. Antibiotics may be required. Warm saltwater gargles can soothe discomfort."
Acute Bronchitis,cough,1.8,"Use a humidifier, drink warm liquids, and get plenty of rest. If cough lasts over 3 weeks or you cough up blood, see a doctor."
Acute Bronchitis,fatigue,1.0,"Use a humidifier, drink warm liquids, and get plenty of rest. If cough lasts over 3 weeks or you cough up blood, see a doctor."
Acute Bronchitis,shortness of breath,1.2,"Use a humidifier, drink warm liquids, and get plenty of rest. If cough lasts over 3 weeks or you cough up blood, see a doctor."
Acute Bronchitis,chest discomfort,1.5,"Use a humidifier, drink warm liquids, and get plenty of rest. If cough lasts over 3 weeks or you cough up blood, see a doctor."
Acute Bronchitis,fever,0.5,"Use a humidifier, drink warm liquids, and get plenty of rest. If cough lasts over 3 weeks or you cough up blood, see a doctor."
Severe Dehydration,fatigue,1.2,"Drink oral rehydration solutions (ORS) or water with electrolytes immediately. Rest in a cool place. Seek emergency care if confusion or inability to swallow occurs."
Severe Dehydration,headache,1.0,"Drink oral rehydration solutions (ORS) or water with electrolytes immediately. Rest in a cool place. Seek emergency care if confusion or inability to swallow occurs."
Severe Dehydration,dry mouth,1.8,"Drink oral rehydration solutions (ORS) or water with electrolytes immediately. Rest in a cool place. Seek emergency care if confusion or inability to swallow occurs."
Severe Dehydration,dizziness,1.8,"Drink oral rehydration solutions (ORS) or water with electrolytes immediately. Rest in a cool place. Seek emergency care if confusion or inability to swallow occurs."
